Data,ryzyko,prawdopodobienstwo,kierunek,epizod_rzeczywisty
2024-02-19,wysokie,0.681,↑,0
2024-02-20,wysokie,0.699,↑,0
2024-02-21,wysokie,0.796,↑,0
2024-02-22,wysokie,0.84,↑,0
2024-02-23,wysokie,0.89,↑,0
2024-02-24,wysokie,0.9,↑,0
2024-02-25,wysokie,0.848,↓,0
2024-02-26,wysokie,0.723,↓,0
2024-02-27,wysokie,0.802,↑,0
2024-02-28,średnie,0.643,↓,0
2024-02-29,niskie,0.452,↓,0
2024-03-01,niskie,0.346,↓,0
2024-03-02,niskie,0.221,↓,0
2024-03-03,niskie,0.134,↓,0
2024-03-04,niskie,0.061,↓,0
2024-03-05,niskie,0.042,↓,0
2024-03-06,niskie,0.04,↓,0
2024-03-07,niskie,0.022,↓,0
2024-03-08,niskie,0.039,↑,0
2024-03-09,niskie,0.081,↑,0
2024-03-10,niskie,0.1,↑,0
2024-03-11,niskie,0.333,↑,0
2024-03-12,niskie,0.217,↓,0
2024-03-13,niskie,0.121,↓,0
2024-03-14,niskie,0.073,↓,0
2024-03-15,niskie,0.062,↓,0
2024-03-16,niskie,0.068,↑,0
2024-03-17,niskie,0.064,↓,0
2024-03-18,niskie,0.021,↓,0
2024-03-19,niskie,0.014,↓,0
2024-03-20,niskie,0.044,↑,0
2024-03-21,niskie,0.112,↑,0
2024-03-22,niskie,0.297,↑,0
2024-03-23,niskie,0.406,↑,0
2024-03-24,niskie,0.339,↓,0
2024-03-25,niskie,0.195,↓,0
2024-03-26,niskie,0.154,↓,0
2024-03-27,niskie,0.212,↑,0
2024-03-28,niskie,0.226,↑,0
2024-03-29,niskie,0.111,↓,0
2024-03-30,niskie,0.2,↑,0
2024-03-31,niskie,0.243,↑,0
2024-04-01,niskie,0.286,↑,0
2024-04-02,niskie,0.314,↑,0
2024-04-03,niskie,0.18,↓,0
2024-04-04,niskie,0.265,↑,0
2024-04-05,niskie,0.368,↑,0
2024-04-06,niskie,0.277,↓,0
2024-04-07,niskie,0.105,↓,0
2024-04-08,niskie,0.097,↓,0
2024-04-09,niskie,0.104,↑,0
2024-04-10,niskie,0.112,↑,0
2024-04-11,niskie,0.038,↓,0
2024-04-12,niskie,0.06,↑,0
2024-04-13,niskie,0.119,↑,0
2024-04-14,niskie,0.346,↑,0
2024-04-15,niskie,0.445,↑,0
2024-04-16,wysokie,0.663,↑,0
2024-04-17,wysokie,0.686,↑,0
2024-04-18,średnie,0.542,↓,0
2024-04-19,niskie,0.422,↓,0
2024-04-20,średnie,0.561,↑,0
2024-04-21,niskie,0.381,↓,0
2024-04-22,niskie,0.193,↓,0
2024-04-23,niskie,0.125,↓,0
2024-04-24,niskie,0.155,↑,0
2024-04-25,niskie,0.164,↑,0
2024-04-26,niskie,0.098,↓,0
2024-04-27,niskie,0.032,↓,0
2024-04-28,niskie,0.017,↓,0
2024-04-29,niskie,0.022,↑,0
2024-04-30,niskie,0.019,↓,0
2024-05-01,niskie,0.027,↑,0
2024-05-02,niskie,0.041,↑,0
2024-05-03,niskie,0.033,↓,0
2024-05-04,niskie,0.024,↓,0
2024-05-05,niskie,0.167,↑,0
2024-05-06,niskie,0.256,↑,0
2024-05-07,niskie,0.44,↑,0
2024-05-08,niskie,0.246,↓,0
2024-05-09,niskie,0.126,↓,0
2024-05-10,niskie,0.152,↑,0
2024-05-11,niskie,0.067,↓,0
2024-05-12,niskie,0.021,↓,0
2024-05-13,niskie,0.029,↑,0
