Data,sezon,ryzyko,prawdopodobienstwo,glowny_czynnik,kierunek,pewnosc,komunikat,epizod_rzeczywisty,epizod_Strzyza,epizod_Martwa_Wisla,epizod_Port_Polnocny
2022-06-26,lato,niskie,0.062,cos_doy,wzrost,0.062,cos_doy – models ocenia ryzyko wezbrania na 6%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 6%.,0,0,0,0
2022-06-27,lato,niskie,0.079,cos_doy,wzrost,0.079,cos_doy – models ocenia ryzyko wezbrania na 8%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 8%.,0,0,0,0
2022-06-28,lato,niskie,0.085,cos_doy,wzrost,0.085,cos_doy – models ocenia ryzyko wezbrania na 9%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 9%.,0,0,0,0
2022-06-29,lato,niskie,0.129,cos_doy,wzrost,0.129,cos_doy – models ocenia ryzyko wezbrania na 13%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 13%.,0,0,0,0
2022-06-30,lato,niskie,0.079,cos_doy,spadek,0.079,cos_doy – models ocenia ryzyko wezbrania na 8%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 8%.,0,0,0,0
2022-07-01,lato,niskie,0.051,cos_doy,spadek,0.051,cos_doy – models ocenia ryzyko wezbrania na 5%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 5%.,0,0,0,0
2022-07-02,lato,niskie,0.193,cos_doy,wzrost,0.193,cos_doy – models ocenia ryzyko wezbrania na 19%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 19%.,0,0,0,0
2022-07-03,lato,niskie,0.147,cos_doy,spadek,0.147,cos_doy – models ocenia ryzyko wezbrania na 15%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 15%.,0,0,0,0
2022-07-04,lato,niskie,0.092,cos_doy,spadek,0.092,cos_doy – models ocenia ryzyko wezbrania na 9%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 9%.,0,0,0,0
2022-07-05,lato,niskie,0.072,cos_doy,spadek,0.072,cos_doy – models ocenia ryzyko wezbrania na 7%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 7%.,0,0,0,0
2022-07-06,lato,niskie,0.103,cos_doy,wzrost,0.103,cos_doy – models ocenia ryzyko wezbrania na 10%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 10%.,0,0,0,0
2022-07-07,lato,niskie,0.079,cos_doy,spadek,0.079,cos_doy – models ocenia ryzyko wezbrania na 8%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 8%.,0,0,0,0
