Data,sezon,ryzyko,prawdopodobienstwo,glowny_czynnik,kierunek,pewnosc,komunikat,epizod_rzeczywisty,epizod_Strzyza,epizod_Martwa_Wisla,epizod_Port_Polnocny
2024-11-05,jesien,niskie,0.162,cos_doy,↓,0.162,cos_doy – model ocenia ryzyko wezbrania na 16%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 16%.,0,0,0,0
2024-11-06,jesien,niskie,0.35,cos_doy,↑,0.35,cos_doy – model ocenia ryzyko wezbrania na 35%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 35%.,0,0,0,0
2024-11-07,jesien,niskie,0.241,cos_doy,↓,0.241,cos_doy – model ocenia ryzyko wezbrania na 24%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 24%.,0,0,0,0
2024-11-08,jesien,niskie,0.219,cos_doy,↓,0.219,cos_doy – model ocenia ryzyko wezbrania na 22%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 22%.,0,0,0,0
2024-11-09,jesien,niskie,0.158,cos_doy,↓,0.158,cos_doy – model ocenia ryzyko wezbrania na 16%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 16%.,0,0,0,0
2024-11-10,jesien,niskie,0.208,cos_doy,↑,0.208,cos_doy – model ocenia ryzyko wezbrania na 21%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 21%.,0,0,0,0
2024-11-11,jesien,niskie,0.204,cos_doy,↓,0.204,cos_doy – model ocenia ryzyko wezbrania na 20%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 20%.,0,0,0,0
2024-11-12,jesien,niskie,0.157,cos_doy,↓,0.157,cos_doy – model ocenia ryzyko wezbrania na 16%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 16%.,0,0,0,0
2024-11-13,jesien,niskie,0.227,cos_doy,↑,0.227,cos_doy – model ocenia ryzyko wezbrania na 23%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 23%.,0,0,0,0
2024-11-14,jesien,niskie,0.371,cos_doy,↑,0.371,cos_doy – model ocenia ryzyko wezbrania na 37%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 37%.,0,0,0,0
2024-11-15,jesien,niskie,0.233,cos_doy,↓,0.233,cos_doy – model ocenia ryzyko wezbrania na 23%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 23%.,0,0,0,0
2024-11-16,jesien,niskie,0.39,cos_doy,↑,0.39,cos_doy – model ocenia ryzyko wezbrania na 39%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 39%.,0,0,0,0
2024-11-17,jesien,średnie,0.575,cos_doy,↑,0.575,cos_doy – model ocenia ryzyko wezbrania na 58%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 58%.,0,0,0,0
2024-11-18,jesien,średnie,0.647,cos_doy,↑,0.647,cos_doy – model ocenia ryzyko wezbrania na 65%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 65%.,0,0,0,0
2024-11-19,jesien,wysokie,0.816,cos_doy,↑,0.816,cos_doy – model ocenia ryzyko wezbrania na 82%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 82%.,0,0,0,0
2024-11-20,jesien,wysokie,0.899,cos_doy,↑,0.899,cos_doy – model ocenia ryzyko wezbrania na 90%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 90%.,1,1,1,1
2024-11-21,jesien,wysokie,0.744,cos_doy,↓,0.744,cos_doy – model ocenia ryzyko wezbrania na 74%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 74%.,1,1,0,1
2024-11-22,jesien,wysokie,0.699,cos_doy,↓,0.699,cos_doy – model ocenia ryzyko wezbrania na 70%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 70%.,1,1,0,1
2024-11-23,jesien,wysokie,0.792,cos_doy,↑,0.792,cos_doy – model ocenia ryzyko wezbrania na 79%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 79%.,1,1,0,1
2024-11-24,jesien,niskie,0.372,cos_doy,↓,0.372,cos_doy – model ocenia ryzyko wezbrania na 37%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 37%.,0,0,0,0
